Gene,UniProt AC,ipTM,ipSAE,pDockQ,Transition coordinates,PDB
DNAJC8,O75937,0.63,0.517917,0.4987254039483098," 278-283",P48431_O75937.pdb
DXO,O77932,0.63,0.395567,0.2184520865020252," 196-207",P48431_O77932.pdb
CTSG,P08311,0.6,0.23747,0.3826458985626467," 195-200",P48431_P08311.pdb
MAPK4,P31152,0.44,0.331167,0.05909607708171714," 124-134",P48431_P31152.pdb
PKP1,Q13835,0.43,0.319767,0.043422984848240816," 243-246",P48431_Q13835.pdb
USP10,Q14694,0.4,0.365404,0.06942942704606084," 163-167",P48431_Q14694.pdb
SIRT2,Q8IXJ6,0.59,0.395273,0.0805667992256542," 243-246",P48431_Q8IXJ6.pdb
DPH1,Q9BZG8,0.53,0.322286,0.32336688895892857," 212-218",P48431_Q9BZG8.pdb
EXO5,Q9H790,0.58,0.353747,0.15825022081525908," 289-294",P48431_Q9H790.pdb
CNOT10,Q9H9A5,0.51,0.347627,0.12504620393181898," 163-181",P48431_Q9H9A5.pdb
SIRT7,Q9NRC8,0.61,0.363389,0.07406677134428769," 243-246",P48431_Q9NRC8.pdb
SIRT3,Q9NTG7,0.59,0.523035,0.14074937312439909," 243-247",P48431_Q9NTG7.pdb
LRWD1,Q9UFC0,0.57,0.579903,0.10765282764457383," 243-246",P48431_Q9UFC0.pdb
CTNND2,Q9UQB3,0.4,0.467574,0.07649179656386147," 169-179",P48431_Q9UQB3.pdb
