,Gene,UniProt AC,ipTM,ipSAE,pDockQ,PDB
0,AHRR,A9YTQ3,0.39,0.690321,0.08306576726648009,P48431_A9YTQ3.pdb
1,IRF6,O14896,0.47,0.505071,0.08868322113692106,P48431_O14896.pdb
2,ZBTB22,O15209,0.34,0.618292,0.033056625675911486,P48431_O15209.pdb
3,HOXC11,O43248,0.17,0.005854,0.562233747612838,P48431_O43248.pdb
4,EEF1E1,O43324,0.77,0.507428,0.17679895010074928,P48431_O43324.pdb
5,RGS10,O43665,0.57,0.32095100000000004,0.6185239005093616,P48431_O43665.pdb
6,SOX15,O60248,0.13,0.0,0.5834527473385843,P48431_O60248.pdb
7,GCM2,O75603,0.37,0.639886,0.6122183866630343,P48431_O75603.pdb
8,DNAJC8,O75937,0.63,0.517917,0.4987254039483098,P48431_O75937.pdb
9,RECQL4,O94761,0.5,0.552833,0.056637566752720574,P48431_O94761.pdb
10,UBOX5,O94941,0.4,0.544802,0.08998960580071842,P48431_O94941.pdb
11,SCAF4,O95104,0.35,0.5127149999999999,0.03520850802427517,P48431_O95104.pdb
12,H1-5,P16401,0.14,0.0,0.5508058906844456,P48431_P16401.pdb
13,ZNF37A,P17032,0.38,0.532048,0.2578392977433012,P48431_P17032.pdb
14,CDKN2A,P42771,0.76,0.681351,0.6200458523474135,P48431_P42771.pdb
15,MAGEA11,P43364,0.46,0.521722,0.09252969705819963,P48431_P43364.pdb
16,CBX5,P45973,0.39,0.635738,0.2491894285258565,P48431_P45973.pdb
17,UBE2E1,P51965,0.12,0.006465,0.5071382321064942,P48431_P51965.pdb
18,POLR2K,P53803,0.19,0.005579,0.5679107478086294,P48431_P53803.pdb
19,HIRA,P54198,0.41,0.634868,0.3005916642389677,P48431_P54198.pdb
20,SEC13,P55735,0.73,0.603529,0.5860100345125094,P48431_P55735.pdb
21,WDR4,P57081,0.56,0.371566,0.5567681510582371,P48431_P57081.pdb
22,EIF5A,P63241,0.8,0.65635,0.6092011972062347,P48431_P63241.pdb
23,PLCB3,Q01970,0.57,0.650129,0.16848809071252274,P48431_Q01970.pdb
24,IRF8,Q02556,0.59,0.513674,0.26117601513134464,P48431_Q02556.pdb
25,IRF5,Q13568,0.44,0.6040479999999999,0.06009341689626262,P48431_Q13568.pdb
26,ZMYM3,Q14202,0.37,0.537425,0.05141647402866538,P48431_Q14202.pdb
27,NFATC4,Q14934,0.36,0.5572590000000001,0.029264570602329745,P48431_Q14934.pdb
28,PDCD2,Q16342,0.68,0.5224340000000001,0.5175234027003989,P48431_Q16342.pdb
29,SPIN4,Q56A73,0.66,0.519436,0.21998290294450984,P48431_Q56A73.pdb
30,KHDC3L,Q587J8,0.51,0.561556,0.5583308733182789,P48431_Q587J8.pdb
31,ARL6IP4,Q66PJ3,0.31,0.489635,0.6135072475082114,P48431_Q66PJ3.pdb
32,TRNP1,Q6NT89,0.28,0.323435,0.5571344395453194,P48431_Q6NT89.pdb
33,SHLD3,Q6ZNX1,0.46,0.511594,0.3228846082147152,P48431_Q6ZNX1.pdb
34,OLIG3,Q7RTU3,0.23,0.10517,0.5221527192847472,P48431_Q7RTU3.pdb
35,ZC3HC1,Q86WB0,0.56,0.6455,0.08806923564743131,P48431_Q86WB0.pdb
36,NR2C2AP,Q86WQ0,0.49,0.152081,0.5098369423393608,P48431_Q86WQ0.pdb
37,TEN1,Q86WV5,0.2,0.0,0.5227424175714175,P48431_Q86WV5.pdb
38,METTL23,Q86XA0,0.83,0.626209,0.4169952771554093,P48431_Q86XA0.pdb
39,AEBP1,Q8IUX7,0.5,0.586726,0.05325043358848791,P48431_Q8IUX7.pdb
40,NUP37,Q8NFH4,0.88,0.79874,0.6289464404669971,P48431_Q8NFH4.pdb
41,TSTD1,Q8NFU3,0.17,0.0,0.5341415577669405,P48431_Q8NFU3.pdb
42,TERB2,Q8NHR7,0.51,0.5574,0.3679807063747378,P48431_Q8NHR7.pdb
43,HUS1B,Q8NHY5,0.13,0.0,0.5909548357689961,P48431_Q8NHY5.pdb
44,SNIP1,Q8TAD8,0.43,0.7129850000000001,0.6384381720849155,P48431_Q8TAD8.pdb
45,BAHD1,Q8TBE0,0.4,0.6706529999999999,0.07509909140095028,P48431_Q8TBE0.pdb
46,KLF14,Q8TD94,0.15,0.004741,0.5192695587725953,P48431_Q8TD94.pdb
47,DDB2,Q92466,0.74,0.691814,0.6366844848433526,P48431_Q92466.pdb
48,BRF1,Q92994,0.38,0.507667,0.13084697866434924,P48431_Q92994.pdb
49,UTP4,Q969X6,0.7,0.537773,0.3825203972647115,P48431_Q969X6.pdb
50,EEF1AKMT3,Q96AZ1,0.84,0.763223,0.4618179072929208,P48431_Q96AZ1.pdb
51,ISG20,Q96AZ6,0.69,0.347496,0.5825044143882975,P48431_Q96AZ6.pdb
52,EXOSC8,Q96B26,0.78,0.63713,0.6162806292300286,P48431_Q96B26.pdb
53,RMI2,Q96E14,0.78,0.585224,0.4771538906592254,P48431_Q96E14.pdb
54,EEF2KMT,Q96G04,0.81,0.681279,0.4451862778240393,P48431_Q96G04.pdb
55,TEFM,Q96QE5,0.56,0.607653,0.5706045918050342,P48431_Q96QE5.pdb
56,TRIB3,Q96RU7,0.6,0.554013,0.2431068670422233,P48431_Q96RU7.pdb
57,CGRRF1,Q99675,0.62,0.548453,0.20845401030881391,P48431_Q99675.pdb
58,COQ7,Q99807,0.51,0.192149,0.5621431687519419,P48431_Q99807.pdb
59,CIB1,Q99828,0.77,0.530625,0.3379621997453829,P48431_Q99828.pdb
60,SPIN2A,Q99865,0.64,0.5221279999999999,0.27419966193415723,P48431_Q99865.pdb
61,WDR77,Q9BQA1,0.76,0.662044,0.5999415552060117,P48431_Q9BQA1.pdb
62,MED18,Q9BUE0,0.78,0.571976,0.4159484576467466,P48431_Q9BUE0.pdb
63,MIS12,Q9H081,0.54,0.316944,0.5154998068660684,P48431_Q9H081.pdb
64,SGK2,Q9HBY8,0.71,0.586458,0.42527302036757,P48431_Q9HBY8.pdb
65,POLD4,Q9HCU8,0.57,0.325515,0.5750351591842903,P48431_Q9HCU8.pdb
66,UBE2T,Q9NPD8,0.39,0.042067,0.5239931147969761,P48431_Q9NPD8.pdb
67,BATF3,Q9NR55,0.15,0.0,0.5701697268751386,P48431_Q9NR55.pdb
68,SIRT3,Q9NTG7,0.59,0.523035,0.14074937312439909,P48431_Q9NTG7.pdb
69,AP5S1,Q9NUS5,0.78,0.57305,0.5653170958360082,P48431_Q9NUS5.pdb
70,HPF1,Q9NWY4,0.67,0.547129,0.6234611048082788,P48431_Q9NWY4.pdb
71,GRHL1,Q9NZI5,0.39,0.614073,0.04656837231992275,P48431_Q9NZI5.pdb
72,LMCD1,Q9NZU5,0.68,0.524317,0.4887629099299047,P48431_Q9NZU5.pdb
73,BCCIP,Q9P287,0.71,0.645918,0.3909415767960272,P48431_Q9P287.pdb
74,LRWD1,Q9UFC0,0.57,0.579903,0.10765282764457383,P48431_Q9UFC0.pdb
75,SOX13,Q9UN79,0.16,0.0,0.5501047756670512,P48431_Q9UN79.pdb
76,DUSP12,Q9UNI6,0.6,0.407611,0.5262663910903963,P48431_Q9UNI6.pdb
77,TCF19,Q9Y242,0.45,0.538899,0.2669627500906897,P48431_Q9Y242.pdb
78,RASD1,Q9Y272,0.7,0.529154,0.2846027607984815,P48431_Q9Y272.pdb
79,POLR3H,Q9Y535,0.76,0.590672,0.5458979455788044,P48431_Q9Y535.pdb
80,N6AMT1,Q9Y5N5,0.86,0.710329,0.6220613187799212,P48431_Q9Y5N5.pdb
