,Gene,UniProt AC,ipTM,ipSAE,pDockQ,PDB
0,MEIOC,A2RUB1,0.4,0.611142,0.27575995401512604,Q01860_A2RUB1.pdb
1,PMS2P5,A8MQ11,0.51,0.439426,0.5106539473308098,Q01860_A8MQ11.pdb
2,NOTO,A8MTQ0,0.41,0.515885,0.05270949626781688,Q01860_A8MTQ0.pdb
3,NFIB,O00712,0.48,0.612889,0.03955649115639925,Q01860_O00712.pdb
4,DYNC1I1,O14576,0.59,0.8262079999999999,0.10481813770842574,Q01860_O14576.pdb
5,WDR46,O15213,0.67,0.748999,0.5420351009068944,Q01860_O15213.pdb
6,DYNC1LI2,O43237,0.55,0.601382,0.0931269674292484,Q01860_O43237.pdb
7,HOXC11,O43248,0.43,0.603549,0.15675342950512616,Q01860_O43248.pdb
8,HTATSF1,O43719,0.38,0.5309510000000001,0.10319427920866213,Q01860_O43719.pdb
9,DKC1,O60832,0.62,0.644241,0.5652869766383001,Q01860_O60832.pdb
10,DUSP11,O75319,0.54,0.6034390000000001,0.24979572460008936,Q01860_O75319.pdb
11,SPAG7,O75391,0.55,0.539717,0.1350550658576662,Q01860_O75391.pdb
12,DEAF1,O75398,0.43,0.540227,0.08684673314318543,Q01860_O75398.pdb
13,NCR1,O76036,0.39,0.185885,0.5329581618005802,Q01860_O76036.pdb
14,ALX3,O95076,0.43,0.523414,0.021841086761103287,Q01860_O95076.pdb
15,SOX14,O95416,0.31,0.18302,0.5861001521821053,Q01860_O95416.pdb
16,BRD1,O95696,0.45,0.545276,0.09212644238765356,Q01860_O95696.pdb
17,LDOC1,O95751,0.62,0.601136,0.22143763717074627,Q01860_O95751.pdb
18,TP53,P04637,0.55,0.685535,0.3187768814983465,Q01860_P04637.pdb
19,NFIC,P08651,0.43,0.5937680000000001,0.05482543677935059,Q01860_P08651.pdb
20,WEE2,P0C1S8,0.48,0.588765,0.08876035347520564,Q01860_P0C1S8.pdb
21,CDK4,P11802,0.72,0.531416,0.2286177603188881,Q01860_P11802.pdb
22,GZMA,P12544,0.57,0.315135,0.5419843624326687,Q01860_P12544.pdb
23,GATA1,P15976,0.43,0.564337,0.1370031359774783,Q01860_P15976.pdb
24,GCFC2,P16383,0.53,0.628289,0.0,Q01860_P16383.pdb
25,GATA2,P23769,0.43,0.535272,0.15320308490912035,Q01860_P23769.pdb
26,GATA3,P23771,0.43,0.538434,0.07584198583350521,Q01860_P23771.pdb
27,PSMA1,P25786,0.75,0.557407,0.0,Q01860_P25786.pdb
28,RBMS1,P29558,0.44,0.6149899999999999,0.153732338382826,Q01860_P29558.pdb
