,Gene,UniProt AC,ipTM,ipSAE,pDockQ,PDB
0,IPO8,O15397,0.5,0.355887,0.08625189739891669,O43474_O15397.pdb
1,TAF5L,O75529,0.48,0.396559,0.10517823831117916,O43474_O75529.pdb
2,CLNS1A,P54105,0.6,0.671161,0.2239324606333496,O43474_P54105.pdb
3,CDKN2D,P55273,0.85,0.617915,0.29316771356190424,O43474_P55273.pdb
4,EIF6,P56537,0.65,0.295759,0.191132762528386,O43474_P56537.pdb
5,WDR4,P57081,0.57,0.313037,0.17666492091024394,O43474_P57081.pdb
6,TLE3,Q04726,0.37,0.309284,0.08251188397235598,O43474_Q04726.pdb
7,PWP1,Q13610,0.56,0.395408,0.0895257159253732,O43474_Q13610.pdb
8,MLF2,Q15773,0.54,0.513646,0.16292563852124295,O43474_Q15773.pdb
9,ZNF79,Q15937,0.22,0.008068,0.2370133143432317,O43474_Q15937.pdb
10,SMU1,Q2TAY7,0.55,0.475663,0.2476457426124545,O43474_Q2TAY7.pdb
11,JADE1,Q6IE81,0.3,0.327515,0.05255731819459708,O43474_Q6IE81.pdb
12,FOXR1,Q6PIV2,0.44,0.35935300000000003,0.07942365834592584,O43474_Q6PIV2.pdb
13,DPPA2,Q7Z7J5,0.45,0.584728,0.06102666856445298,O43474_Q7Z7J5.pdb
14,HORMAD1,Q86X24,0.5,0.404589,0.10991384515254074,O43474_Q86X24.pdb
15,ZNF654,Q8IZM8,0.38,0.386405,0.054749123959138016,O43474_Q8IZM8.pdb
16,ELP5,Q8TE02,0.55,0.320275,0.1832209428546714,O43474_Q8TE02.pdb
17,TRAPPC12,Q8WVT3,0.5,0.4353010000000001,0.042226051325399264,O43474_Q8WVT3.pdb
18,IRF7,Q92985,0.4,0.379547,0.14463029178518907,O43474_Q92985.pdb
19,THAP9,Q9H5L6,0.45,0.355536,0.10557512279454227,O43474_Q9H5L6.pdb
20,CTNNBIP1,Q9NSA3,0.56,0.111295,0.2909407361204878,O43474_Q9NSA3.pdb
21,MIS18A,Q9NYP9,0.49,0.508309,0.3058623738492373,O43474_Q9NYP9.pdb
22,DAXX,Q9UER7,0.38,0.427138,0.07351621950164873,O43474_Q9UER7.pdb
