Gene,UniProt AC,ipTM,ipSAE,pDockQ,Transition coordinates,PDB
SIAH2,O43255,0.45,0.174394,0.24716935681356705," 72-78",Q01860_O43255.pdb
CCNT1,O60563,0.45,0.4773850000000001,0.12967736842693384," 302-306",Q01860_O60563.pdb
LMO4,P61968,0.52,0.223165,0.27366946679626203," 62-70",Q01860_P61968.pdb
PWP1,Q13610,0.55,0.386321,0.07496090283217645," 57-77",Q01860_Q13610.pdb
MAPKAPK3,Q16644,0.54,0.32489,0.12015210725104705," 7-15",Q01860_Q16644.pdb
SETD3,Q86TU7,0.6,0.447028,0.08778328509570835," 63-68",Q01860_Q86TU7.pdb
EGLN2,Q96KS0,0.49,0.449824,0.08811690225168857," 27-38",Q01860_Q96KS0.pdb
SMYD3,Q9H7B4,0.64,0.374466,0.15974706957669535," 27-38",Q01860_Q9H7B4.pdb
POT1,Q9NUX5,0.37,0.347225,0.19963592856674064," 8-37",Q01860_Q9NUX5.pdb
LRWD1,Q9UFC0,0.5,0.350082,0.15033327211161165," 25-30",Q01860_Q9UFC0.pdb
